index,Key,Structures,Landings,Colliders,Reward,Hazard
0,A,-------------X,1,1,0,0
11,B,--------------,0,0,0,0
13,C,----------X---,8,8,0,0
17,D,-------X--X---,72,72,0,0
18,E,-------X------,64,64,0,0
21,F,------EX------,64,64,0,128
23,G,----X---------,512,512,0,0
26,H,--------X---oX,33,33,2,0
28,I,--------X-----,32,32,0,0
31,J,------------X-,2,2,0,0
32,K,------o-----X-,2,2,128,0
38,L,------o--X----,16,16,128,0
40,M,---------X----,16,16,0,0
41,N,---------X-X--,20,20,0,0
42,O,-------X---X--,68,68,0,0
44,P,---?---X---X--,1092,1092,1024,0
46,Q,------EX---X--,68,68,0,128
47,R,-------X-o-X--,68,68,16,0
48,S,---------o-X--,4,4,16,0
49,T,---------oEX--,4,4,16,8
50,U,---X-------X--,1028,1028,0,0
51,V,--oX----------,1024,1024,2048,0
53,W,---X----------,1024,1024,0,0
55,X,------X-------,128,128,0,0
60,Y,-------X-----X,65,65,0,0
61,Z,------oX-----X,65,65,128,0
67,[,------------EX,1,1,0,2
72,\,----X--------X,513,513,0,0
73,],---oX--------X,513,513,1024,0
76,^,-----oX-------,128,128,256,0
79,_,------X----X--,132,132,0,0
80,`,-----------X--,4,4,0,0
83,a,-----o--X-----,32,32,256,0
90,b,-----X---X----,272,272,0,0
91,c,-----X--------,256,256,0,0
100,d,----oX--------,256,256,512,0
102,e,-----X-----X--,260,260,0,0
103,f,-------X--oX--,68,68,8,0
104,g,------oX---X--,68,68,128,0
109,h,------E-------,0,0,0,128
117,i,---------EX---,8,8,0,16
125,j,------X---X---,136,136,0,0
146,k,------------XX,2,3,0,0
